Date의 연도,Missile Name,Missile Family,Launches
2005,Hwasong-16A?,,
2004,Hwasong-16A?,,
2003,Hwasong-16A?,,
2002,Hwasong-16A?,,
2001,Hwasong-16A?,,
2000,Hwasong-16A?,,
1999,Hwasong-16A?,,
1998,Hwasong-16A?,,
1997,Hwasong-16A?,,
1996,Hwasong-16A?,,
1995,Hwasong-16A?,,
1994,Hwasong-16A?,,
1993,Hwasong-16A?,,
1992,Hwasong-16A?,,
1991,Hwasong-16A?,,
1990,Hwasong-16A?,,
1989,Hwasong-16A?,,
1988,Hwasong-16A?,,
1987,Hwasong-16A?,,
1986,Hwasong-16A?,,
1985,Hwasong-16A?,,
1984,Hwasong-16A?,,
2024,Hwasong-15,,
2023,Hwasong-15,ICBM,1
2022,Hwasong-15,ICBM,1
2021,Hwasong-15,,
2020,Hwasong-15,,
2019,Hwasong-15,,
2018,Hwasong-15,,
2017,Hwasong-15,ICBM,1
2016,Hwasong-15,,
2015,Hwasong-15,,
2014,Hwasong-15,,
2013,Hwasong-15,,
2012,Hwasong-15,,
2011,Hwasong-15,,
2010,Hwasong-15,,
2009,Hwasong-15,,
2008,Hwasong-15,,
2007,Hwasong-15,,
2006,Hwasong-15,,
2005,Hwasong-15,,
2004,Hwasong-15,,
2003,Hwasong-15,,
2002,Hwasong-15,,
2001,Hwasong-15,,
2000,Hwasong-15,,
1999,Hwasong-15,,
1998,Hwasong-15,,
1997,Hwasong-15,,
1996,Hwasong-15,,
1995,Hwasong-15,,
1994,Hwasong-15,,
1993,Hwasong-15,,
1992,Hwasong-15,,
1991,Hwasong-15,,
1990,Hwasong-15,,
1989,Hwasong-15,,
1988,Hwasong-15,,
1987,Hwasong-15,,
1986,Hwasong-15,,
1985,Hwasong-15,,
1984,Hwasong-15,,
2024,Hwasong-14,,
2023,Hwasong-14,,
2022,Hwasong-14,,
2021,Hwasong-14,,
2020,Hwasong-14,,
2019,Hwasong-14,,
2018,Hwasong-14,,
2017,Hwasong-14,ICBM,2
2016,Hwasong-14,,
2015,Hwasong-14,,
2014,Hwasong-14,,
2013,Hwasong-14,,
2012,Hwasong-14,,
2011,Hwasong-14,,
2010,Hwasong-14,,
2009,Hwasong-14,,
2008,Hwasong-14,,
2007,Hwasong-14,,
2006,Hwasong-14,,
2005,Hwasong-14,,
2004,Hwasong-14,,
2003,Hwasong-14,,
2002,Hwasong-14,,
2001,Hwasong-14,,
2000,Hwasong-14,,
1999,Hwasong-14,,
